Brand,Variety,Style,Country,Stars
Tasty Bite,1 Step-1 Minute Asian Noodles Kung Pao,Pack,USA,4.25
Unif,100 Artificial Shallot Chicken,Pack,Taiwan,3.25
Uni-President,100 Beef With Sauerkraut,Pack,Taiwan,4.75
Unif,100 Furong Shrimp,None,Taiwan,3
GaGa,100 Green Chilli Soto Flavour,Pack,Indonesia,3.75
Sakurai Foods,100% Vegetarian Soy Sauce Flavor,Pack,Japan,4.25
Trident,2 Minute Laksa Flavour Noodles,Pack,Australia,2
Maggi,2 Minute Noodles Assam Laksa Flavour,Pack,Singapore,4
Asian Thai Foods,2pm Precooked Noodles Chicken Curry Delight,Pack,Nepal,3.5
Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,4
United,3 Con Tom Instant Noodles Thailand Sour Shrimp Flavor,Pack,Vietnam,2.75
Gomex,3 Mien Mi Tom Chua Cay Hot sour Shrimp,Pack,Vietnam,2.25
Maruchan,35% Less Sodium Beef,Cup,USA,3.5
Samyang,60 Ingredients,Cup,South Korea,2.75
Samyang Foods,60 Ingredients Assorted Vegetable SK Version,Pack,South Korea,3.75
Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China,4.25
Uni-President,A Q Bucket Noodle Korean Kimchi Flavor,Bowl,Taiwan,4
Samyang Foods,Samyang Ramyun South Korean Version,Bowl,South Korea,3.75
Little Cook,Abalone Chicken,Cup,Thailand,1.75
Maruchan,Akai Kitsune Udon,Bowl,Japan,4
Souper,Alimentary Paste Chow Mein,Pack,Taiwan,4.25
Deshome,Aloe Noodle Red Onion & Sesame Sauce,Pack,Taiwan,5
Jingqi,Aloe Vera Guan Mian Cyanobacteria Noodle With Ginger Oil Sauce,Pack,Taiwan,5
Ibumie,Always Mi Goreng Perisa Asli,Pack,Malaysia,3.75
Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1
Nongshim,Ansungtangmyun (US Version),Pack,USA,3.75
Ve Wong,A-One Bun Tom Shrimp,Pack,Taiwan,3
Sakurai Foods,ARCHE Naturküche Japanische Nudelsuppe,Pack,Japan,3.25
Nongshim,Arrabiata Rice Bucatini,Pack,USA,5
Master Kong,Artificial Abalone Crab Flavor Instant Noodle,Pack,China,0
Dragonfly,Artificial Beef,Bowl,China,4.75
Doll,Artificial Beef Flavor,Pack,Hong Kong,2.5
Baixiang Noodles,Artificial Beef Instant Noodles With Soup Base,Pack,China,3.75
Unif,Artificial Beef With Sauerkraut,Bowl,Taiwan,3.75
Kang Shi Fu,Artificial Beef With Sauerkraut Flavour,Pack,Hong Kong,4
Master Kong,Artificial Braised Beef,Pack,China,4.25
Doll,Artificial Chicken,Pack,Hong Kong,4.5
Sunlee,Artificial Chicken Rice Vermicelli,Bowl,Thailand,2.5
Unif / Tung-I,Artificial Chinese Beef,Pack,Taiwan,2.85
Ve Wong,Artificial Classic Beef,Bowl,Taiwan,3.75
Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,Hong Kong,4.75
Dragonfly,Artificial Hot & Sour Shrimp,Pack,China,4
JML,Artificial Mushroom Chicken,Bowl,China,1.25
Master Kong,Artificial Mushroom Chicken Flavor Instant Noodle,Pack,China,4
Dragonfly,Artificial Onion,Bowl,China,4
Ve Wong,Artificial Onion Flavor Bean Thread,Bowl,Taiwan,1.5
Mama,Artificial PA-LO Duck,Pack,Thailand,0.1
Ve Wong,Artificial Peppered Beef,Pack,Taiwan,3.5
Baijia,Artificial Pickled Cabbage Fish,Pack,China,2.75
Sichuan Baijia,Artificial Pickled Cabbage Fish Flavor Instant Vermicelli,Pack,China,1.5
Baijia,Artificial Pickled Vegetable Beef Flavor,Pack,China,3
Master Kong,Artificial Pork,Pack,China,3.75
Ve Wong,Artificial Pork & Chicken,Pack,Taiwan,3.4
JML,Artificial Pork Flavor Noodles,Pack,China,4
Baixiang Noodles,Artificial Pork Flavour,Pack,China,3
Mama,Artificial Pork Jumbo,Pack,Thailand,3
Dragonfly,Artificial Pork Ribs,Bowl,China,3.5
Master Kong,Artificial Pork Ribs Flavour Instant Noodle,Pack,China,3.5
Kang Shi Fu,Artificial Roasted Beef,Pack,China,3.5
Dragonfly,Artificial Seafood,Pack,China,3.75
Master Kong,Artificial Seafood Flavor Instant Noodle,Pack,China,3.75
Ve Wong,Artificial Sesame Chicken,Pack,Taiwan,4.25
Mee Jang,Artificial Shrimp Tom yum,Bowl,Thailand,3.5
JML,Artificial Spicy Beef,Bowl,China,3.5
Kang Shi Fu,Artificial Spicy Beef Flavour,Pack,Hong Kong,4
JML,Artificial Spicy Hot Beef,Pack,China,3.75
ICA,Asia Fast Noodles Snabbnudlar Räksmak,Pack,Sweden,3
Vifon,Asian Style Instant Noodles Artificial Beef Flavor,Bowl,Vietnam,3.25
Haioreum,Asian Style Noodles Seafood,Bowl,South Korea,3.5
Koyo,Asian Vegetable,Pack,USA,1.5
Master Kong,Assorted Pork Bone Noodle,Pack,China,4
Samyang,Assorted Vegetable Ramen,Pack,South Korea,3.75
Patanjali,Atta Noodles Jhatpat Banao Befikr Khao,Pack,India,5
Sanyo Foods,Aunt Mentaiko Durum Spaghetti,Bowl,Japan,4.5
Maggi,Authentic Indian Noodles Vegetable Atta Masala,Pack,India,3.75
Urban Noodle,Authentic Street Food Black Bean,Cup,UK,0
Mama,Authentic Thai Cuisine Pad Thai,Pack,Thailand,4
Oyatsu,Baby Star Ramen Round Chikinmini,Pack,Japan,3.5
Vedan,Bah Kut Tea Noodle For Vegetarians,Pack,Taiwan,3.25
Samyang Foods,Bajirak Kalgugsu,Pack,South Korea,3.75
Thai Kitchen,Bangkok Curry Rice Noodle,Pack,USA,2.75
Sainsbury's,Barbecue Beef Flavour Instant Noodles,Pack,UK,2.75
Paldo,Barbecue Ramyun (Prototype),Pack,South Korea,3.75
Myojo,Barikata Noukou Tonkotsu Shoyu,Bowl,Japan,4.75
Amino,Barszcz czerwony (Borscht),Pack,Poland,4
Uni-President,Baseball Snack Noodle,Pack,Taiwan,5
Sainsbury's,Basics Instant Noodles Chicken Curry Flavour,Pack,UK,3.25
Wu-Mu,BBQ Pork Flavor Chow Mein,Pack,Taiwan,4.5
Indomie,Beef,Pack,Indonesia,3.5
Four Seas,Beef And Radish Flavour Instant Noodle,Pack,Hong Kong,2.5
Sapporo Ichiban,Beef Flavor,Pack,USA,4.5
Wu Mu,Beef Flavor Ramen,Pack,Taiwan,4.25
Samyang Foods,Beef Flavor Ramyun (SK Version),Pack,South Korea,4.25
Sapporo Ichiban,Beef Flavorc,Cup,USA,3.5
Western Family,Beef Flavour Instant Noodles,Pack,Canada,0
No Name,Beef Flavour Oriental Noodles And Soup Mix,Cup,Canada,2
Wu-Mu,Beef Flavour Tomato Ramen,Pack,Taiwan,4
Lucky Me!,Beef Na Beef,Pack,Philippines,3.75
Fashion Foods,Beef Pho,Bowl,Thailand,3.75
Jackpot Teriyaki,Beef Ramen,Pack,USA,5
Sunlee,Beef Rice Stick,Bowl,Thailand,2
Great Value,Beef Style Noodles With Vegetables,Cup,Canada,3
Pot Noodle,Beef Tomato,Cup,UK,1.5
Kuriki,Beef Tongue Shio Mayo Ramen,Pack,Japan,4.5
Snapdragon,Beijing Vegetable Rice Noodle,Cup,Singapore,2
Ottogi,Bekse Curry,Pack,South Korea,4
Vina Acecook,Bestcook Hot & Sour Shrimp,Bowl,Vietnam,4.25
Paldo,Bibim Men,Bowl,South Korea,5
Kailo,Big Bowl Artificial Chicken,Bowl,Hong Kong,2.75
Paldo,Big Bowl Noodle,Bowl,South Korea,3.75
Nongshim,Big Bowl Spicy Kimchi,Bowl,South Korea,3.25
Nissin,BIG Cup Noodle Ajillo,Cup,Japan,3
Maruchan,BigCupRamenCorn/Salt&ButterFlavor,Bowl,Japan,5
Maggi,Big Kari Perencah (Big Curry Flavor) 2 Minute Noodles,Pack,Malaysia,4
Quickchow,Bihon Guisado Rice Noodle,Pack,Philippines,1.75
Pama,Bihun Creamy Tom Yam Flavour,Cup,Malaysia,3.75
Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,Indonesia,3.75
Daikoku,Bikkuchigekara Big Chige,Bowl,Japan,3.75
Lishan Food Manufacturing,Black Cock Brand Vegetarian Chicken Noodle,Pack,Taiwan,3.5
Deshome,Black Eyed Bean Noodle Red Onion Sauce & Sesame Sauce,Pack,Taiwan,3.75
Jingqi,Black Eyes Bean Cyanobacteria Noodle With Ginger Oil Sauce,Pack,Taiwan,5
Sau Tao,Black Pepper XO Sauce Flavour,Bowl,Hong Kong,5
Lishan,Black Rooster Chicken,Pack,Taiwan,1.5
Pot Noodle,Bombay Bad Boy,Cup,UK,4
Mr. Noodles,Bowl Beef Simulated Flavor,Bowl,Canada,2
Maruchan,Bowl Chicken Flavor,Bowl,USA,4
Fuku,Bowl Chicken Flavour Instant Rice Vermicelli,Bowl,Hong Kong,4
Mr. Noodles,Bowl Chicken Simulated Flavour,Bowl,Canada,2
Maruchan,Bowl Hot & Spicy Chicken Flavor Ramen Noodles With Vegetables,Bowl,USA,4
Chuan Wei Wang,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,China,3
Nongshim,Bowl Noodle Beef Ginger,Bowl,USA,3.5
Paldo,Bowl Noodle Beef With Vegetables,Bowl,South Korea,3.75
Nongshim,Bowl Noodle Cabbage Kimchi,Bowl,USA,3.25
Paldo,Bowl Noodle Kimchi,Bowl,South Korea,3.5
Samyang,Bowl Noodle Picante Beef,Bowl,South Korea,3.75
Nongshim,Bowl Noodle Savory Beef,Bowl,USA,4
Paldo,Bowl Noodle Shrimp Flavor,Bowl,South Korea,3.25
Nongshim,Bowl Noodle Soup Independence Day Limited Edition Spicy Chicken Flavor,Bowl,USA,4
Paldo,Bowl Noodle Spicy Artificial Chicken,Bowl,South Korea,3.125
Nongshim,Bowl Noodle Spicy Artificial Lobster,Bowl,USA,4
Nissin,Bowl Noodles Chicken Flavor,Bowl,USA,3.5
Souper,Bowl Ramen Shrimp,Bowl,Taiwan,3.75
Mr. Noodles,Bowl Spicy Chicken Simulated Flavour,Bowl,Canada,2
Maruchan,Bowl Taste Of Asia Beef Flavor Sukiyaki Ramen,Bowl,USA,5
Master Kong,Braised Beef Noodle,Pack,China,4.25
JML,Braised Beef Noodles,Pack,China,4
Chencun,Braised Pork Ribs,Cup,China,3
Sichuan Baijia,Broad Noodle Artificial Beef Flavor,Pack,China,3.5
Baijia,Broad Noodle Pickled Vegetable Artificial Beef Flavor,Pack,China,0
Six Fortune,Broad Noodles,Pack,South Korea,3.75
Mitoku,Brown Rice Ramen,Pack,Japan,0.25
Ottogi,Buckwheat Bibim Ramyon,Pack,South Korea,1.1
Paldo,Budae Jjigae,Pack,South Korea,5
Nongshim,Budae Jjigae Noodle Soup,Pack,South Korea,4.5
Paldo,Bul Jjajangmyeon,Pack,South Korea,5
Samyang Foods,Buldak Bokkeummyun,Cup,South Korea,3.75
Paldo,Bulnak Boeummyun King Noodle,Bowl,South Korea,3.5
Hankow,Cai Lin Ji Dry Noodles,Tray,China,3.25
Wai Wai,Casserole Beef Flavour,Pack,Thailand,3.5
Samyang Foods,Chacharoni,Pack,South Korea,3.75
Unif / Tung-I,Chah Chiang,Pack,Taiwan,2.5
Nongshim,Chal Bibim Myun,Pack,South Korea,5
Wang,Champong Spicy Seafood,Bowl,South Korea,3.5
Mama,Chand Clear Soup,Bowl,Thailand,3.5
Takamori Kosan,Chanpon,Pack,Japan,3.75
Nissin,Chanpon Ramen,Pack,Japan,4.75
Itomen,Chanponmen,Pack,Japan,4.25
Nongshim,Chapagetti,Bowl,USA,5
Myojo,Charumera Atyificial Tonkotsu Shouyu Flavor,Pack,Japan,3.75
1 To 3 Noodles,Chatpat Masala,Pack,India,4
Knorr,Chatt Patta Instant Noodles,Pack,Pakistan,1
Ottogi,Cheese Bokki,Bowl,South Korea,4
Samyang Foods,Cheese Buldak Bokkeummyun,Pack,South Korea,4
Paldo,Cheese Noodle,Pack,South Korea,5
Ottogi,Cheese Ramen,Pack,South Korea,4
Paldo,Cheese Ramyun (for US market),Pack,South Korea,5
Samyang Foods,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,South Korea,3.75
Mamee,Chef Creamy Tom Yam Flavour,Pack,Malaysia,5
Wugudaochang,Chef's Grains Buckwheat Noodle,Pack,China,3.5
Gefen,Chicken,Pack,USA,3.5
Pot Noodle,Chicken & Mushroom,Cup,UK,3.75
Myojo,Chicken Abalone Flavour,Bowl,Singapore,3.75
Golden Mie,Chicken Curry,Pack,Dubai,3.75
Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,USA,3.75
Sapporo Ichiban,Chicken Flavor,Cup,USA,3.75
Master Kong,Chicken Flavor Instant Noolde,Pack,China,4.25
Six Fortune,Chicken Flavor Instant Soup Noodle,Pack,South Korea,2
Ajinatori,Chicken Flavor Ramen,Pack,Japan,4
Knorr,Chicken Flavored Instant Noodles,Pack,Pakistan,3
Four Seas,Chicken Flavour,Bowl,China,2.75
Vifon,Chicken Flavour Asian Style Instant Noodles,Pack,Vietnam,3.5
Four Seas,Chicken Flavour Instant Noodle,Pack,Hong Kong,4
Ruski,Chicken Flavour Instant Noodles,Pack,Malaysia,3.75
Mr. Noodles,Chicken Kimchi Oriental Style Noodles With Soup Base,Bowl,Canada,0.5
Quickchow,Chicken Mami,Pack,Philippines,3.75
Ruski,Chicken Masala Flavour Instant Fried Noodles,Pack,Thailand,3.75
Lucky Me!,Chicken Na Chicken,Pack,Philippines,2.75
Eat & Go,Chicken Onion Mi Instan Cup,Cup,Indonesia,3.75
Kabuto Noodles,Chicken Ramen,Cup,UK,4.25
Gau Do,Chicken Shrimp,Pack,Vietnam,2.5
Pamana,Chicken Sopas Creamy Macaroni Soup,Cup,Philippines,3.5
MAMA,Chicken Soup Flavour Cup Noodles,Cup,Myanmar,3.75
Great Value,Chicken Style Noodles With Vegetables,Cup,Canada,3.5
Mama Pat's,Chicken Taco Flavor Instant Ramen Noodles,Pack,USA,3.75
Myojo,Chicken Tanmen Flavour,Pack,Singapore,3.5
TTL,Chicken With Chinese Shaoxing Wine,Pack,Taiwan,4.75
Sakura Noodle,Chikara Brand Udon Beef Flavor,Pack,USA,4.25
Nissin,Chikin Ramen,Pack,Japan,5
Azami,Chili Chicken Flavour Noodle Soup,Cup,Canada,3
Wai Wai,Chili Paste Tom Yum,Pack,Thailand,3.25
Knorr,Chili Pork,Cup,Thailand,3.5
Azami,Chili Seafood Flavor Noodle Soup,Cup,Canada,3.25
Pot Noodle,Chilli Beef Flavour,Cup,UK,2.25
Kabuto Noodles,Chilli Chicken Ramen,Cup,UK,4
Nissin,Chilli Noodles Spicy Tom Yum Flavour,Pack,Thailand,4
Tung-I,Chinese Beef Instant Rice Noodle,Pack,Taiwan,3
Pot Noodle,Chinese Chow Mein,Cup,UK,3
Mama,Chinese Kitchen Chinese Style Instant Noodles,Pack,Myanmar,3.5
Snapdragon,Chinese Mushroom Rice Noodle,Cup,Singapore,2.5
Maggi,Chinese Noodles Lemon Chicken Flavor,Pack,India,3.5
Unif / Tung-I,Chinese Onion Rice Noodle,Pack,Taiwan,2.75
Samyang,Chinese Soybean Paste,Pack,South Korea,2
Unif / Tung-I,Chinese Spices Tong Tsai Bean Vermicelli,Pack,Taiwan,3.5
Nissin,Chinese Tan Tan Vermicelli,Cup,Hong Kong,5
Econsave,Choice Instant Noodles Curry Flavour,Pack,Malaysia,3.5
Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,China,5
Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,China,4
FMF,Chow Masala,Pack,Fiji,4
Sapporo Ichiban,Chow Mein,Pack,Japan,5
Nissin,Chow Mein Chicken,Tray,USA,3.5
Sapporo Ichiban,Chow Mein Japanese Style Noodles Yakisoba,Pack,Canada,5
Nissin,Chow Mein Kung Pao Chicken,Tray,USA,1.5
A-Sha Dry Noodle,Chow Mein Original Flavor,Tray,Taiwan,5
Nissin,Chow Mein Pad Thai,Tray,USA,3
Trident,Chow Mein Soft Noodles,Pack,Australia,2.75
Nissin,Chow Mein Spicy Chicken,Tray,USA,3.25
A-Sha Dry Noodle,Chow Mein Spicy Flavor,Tray,Taiwan,3
Nissin,Chow Mein Spicy Teriyaki Beef,Tray,USA,4.5
FMF,Chow Tomato ,Pack,Fiji,4.25
Nissin,Chu Qian Yi Ding Prawn Flavour Instant Noodles With Soup Base,Pack,Singapore,3.5
Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,Taiwan,4.5
Myojo,Chukazanmai Beijing Style Salt Ramen,Pack,Japan,3
Sempio,Clam Flavor Soup Kal-guksu,Pack,South Korea,5
Pulmuone,Cold Noodles By Dad,Pack,South Korea,2.75
Yamachan,Cold Noodles With Lemon Soy Dressing,Pack,USA,4
Sun Noodle,Cold Ramen Soy Sauce Vinaigrette,Tray,USA,4
Samyang,Cold Ramen With Ponytail Radish,Pack,South Korea,3
Acecook,Comet Mori Yukino Tan-tan men,Bowl,Japan,5
Samyang Foods,Cool/Ice Buldak Bokkeummyun,Pack,South Korea,3.75
President Rice,Coriander Instant Rice Noodles,Bowl,Thailand,2.75
Itomen,Crab Flavor Instant Ramen,Pack,Japan,4
Wai Wai,Crab Instant Rice Vermicelli,Pack,Thailand,2.5
Sunlee,Crab Noodle,Bowl,Thailand,4.5
Nissin,Creamy Chicken,Cup,USA,1.75
KOKA,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,Singapore,5
Ruski,Creamy Tom Yam Instant Noodles,Pack,Thailand,4.5
Tao Kae Noi,Creamy tom Yum Kung Flavour,Pack,Thailand,5
Long Kow,Crystal Noodle Six Kinds Of Mushrooms,Pack,China,2.3
Plats Du Chef,Cuisine Adventures Chicken Pho Soup,Bowl,Canada,5
Nissin,Cup Mifun Spicy Beef Flavour,Cup,Hong Kong,4
Sutah,Cup Noodle,Cup,South Korea,2
Nissin,Cup Noodle Big Cheese Mexican Chilli,Cup,Japan,5
Bamee,Cup Oriental Style Instant Noodles Chicken Flavour,Cup,Thailand,3.25
MAMA,Cup Rice Noodles Tom Saab Flavour,Cup,Thailand,5
Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,USA,1.5
Nissin,Cupo Noodle Pasta Style Vongole,Cup,Japan,2.75
Indomie,Curly Noodle With Chicken Chilli Paddi,Pack,Indonesia,4.25
Koka,Curry,Pack,Singapore,4.25
Samyang Foods,Curry Buldak Bokkeummyun,Pack,South Korea,4.25
Eat & Go,Curry Chicken Mi Instan Cup,Cup,Indonesia,4.25
Dream Kitchen,Curry Flavour Instant Noodles,Cup,USA,5
Super,Curry Flavour Noodles,Cup,Malaysia,3
Vifon,Curry Instant Noodle With Chicken,Cup,Vietnam,3
Vit's,Curry Instant Noodles,Pack,Malaysia,3.5
Chering Chang,Curry La-Men,Pack,Taiwan,5
Aroi,Curry Me! Penang White Curry Soup Noodle,Pack,Malaysia,4.5
